t_s,ref_rpm,rpm_hil,u_hil,rpm_sim,u_sim
1.11,1500.0,1500.001598446245,7.9168,1499.9999999999054,7.916813487046574
1.12,1500.0,1500.000640780811,7.9168,1499.9999999999325,7.916813487046456
1.1300000000000001,1500.0,1499.9998848586524,7.9168,1499.9999999999598,7.916813487046109
1.1400000000000001,1500.0,1499.999307266029,7.9168,1499.9999999999627,7.9168134870463405
1.1500000000000001,1500.0,1499.9988663752133,7.9168,1499.9999999999627,7.916813487046646
1.16,1500.0,1499.9985298428599,7.9169,1499.999999999989,7.916813487046081
1.17,1500.0,1500.0016647184088,7.9168,1499.9999999999911,7.916813487046103
1.18,1500.0,1500.0017326499033,7.9168,1499.9999999999911,7.916813487046176
1.19,1500.0,1500.0007432184789,7.9168,1499.9999999999911,7.916813487046249
1.2,1500.0,1499.9999630493362,7.9168,1499.9999999999911,7.916813487046322
1.21,1500.0,1499.9993669489866,7.9168,1499.9999999999911,7.916813487046395
1.22,1500.0,1499.9989119312206,7.9168,1499.9999999999911,7.9168134870464675
1.23,1500.0,1499.9985646157652,7.9168,1499.9999999999911,7.91681348704654
1.24,1500.0,1499.9982995098317,7.9169,1499.9999999999989,7.916813487046357
1.25,1500.0,1500.001488905179,7.9168,1499.9999999999989,7.916813487046366
1.26,1500.0,1500.0015984516433,7.9168,1499.9999999999989,7.916813487046375
1.27,1500.0,1500.000640784933,7.9168,1499.9999999999989,7.916813487046384
1.28,1500.0,1499.9998848617997,7.9168,1499.9999999999989,7.916813487046393
1.29,1500.0,1499.9993072684306,7.9168,1499.9999999999989,7.916813487046402
1.3,1500.0,1499.9988663770457,7.9168,1499.9999999999989,7.916813487046411
1.31,1500.0,1499.9985298442598,7.9169,1499.9999999999989,7.9168134870464195
1.32,1500.0,1500.0016647194761,7.9168,1499.9999999999989,7.916813487046428
1.33,1500.0,1500.001732650717,7.9168,1499.9999999999989,7.916813487046437
1.34,1500.0,1500.0007432190998,7.9168,1499.9999999999989,7.916813487046446
1.35,1500.0,1499.9999630498096,7.9168,1499.9999999999989,7.916813487046455
1.36,1500.0,1499.9993669493474,7.9168,1499.9999999999989,7.916813487046464
1.37,1500.0,1499.998911931495,7.9168,1499.9999999999989,7.916813487046473
1.3800000000000001,1500.0,1499.9985646159764,7.9168,1499.9999999999989,7.916813487046482
1.3900000000000001,1500.0,1499.9982995099908,7.9169,1499.9999999999989,7.916813487046491
1.4000000000000001,1500.0,1500.0014889053034,7.9168,1499.9999999999989,7.9168134870464995
1.41,1500.0,1500.0015984517395,7.9168,1499.9999999999989,7.916813487046508
1.42,1500.0,1500.0006407850053,7.9168,1499.9999999999989,7.916813487046517
1.43,1500.0,1499.9998848618523,7.9168,1499.9999999999989,7.916813487046526
1.44,1500.0,1499.9993072684724,7.9168,1499.9999999999989,7.916813487046535
1.45,1500.0,1499.998866377077,7.9168,1499.9999999999989,7.916813487046544
